"state","year","quarter","transaction_type","total_transaction","transaction_amount"
"andhra-pradesh",2021,1,"Recharge & bill payments","41940689","20546424964"
"andhra-pradesh",2021,1,"Financial Services","225355","270313028"
"andhra-pradesh",2021,1,"Others","347907","272546458"
"andhra-pradesh",2021,2,"Peer-to-peer payments","189614879","737004484057"
"andhra-pradesh",2021,2,"Merchant payments","112875274","88512429437"
"andhra-pradesh",2021,2,"Recharge & bill payments","49626902","24646800345"
"andhra-pradesh",2021,2,"Financial Services","243237","265483044"
"andhra-pradesh",2021,2,"Others","406842","308302224"
"andhra-pradesh",2021,3,"Peer-to-peer payments","221280317","837841124664"
"andhra-pradesh",2021,3,"Merchant payments","158290953","118164377968"
"andhra-pradesh",2021,3,"Recharge & bill payments","51702350","27511344958"
"andhra-pradesh",2021,3,"Financial Services","211171","297239698"
"andhra-pradesh",2021,3,"Others","547759","403948276"
"andhra-pradesh",2021,4,"Peer-to-peer payments","262006450","971269765249"
"andhra-pradesh",2021,4,"Merchant payments","207538904","152883933597"
"andhra-pradesh",2021,4,"Recharge & bill payments","51762842","31232784714"
"andhra-pradesh",2021,4,"Financial Services","243951","332740109"
"andhra-pradesh",2021,4,"Others","701856","545223416"
"andhra-pradesh",2022,1,"Peer-to-peer payments","288488560","1089629182596"
"andhra-pradesh",2022,1,"Merchant payments","242031836","169419685917"
"andhra-pradesh",2022,1,"Recharge & bill payments","51224170","34473036842"
"andhra-pradesh",2022,1,"Financial Services","231651","324358965"
"andhra-pradesh",2022,1,"Others","627694","474382234"
"andhra-pradesh",2022,2,"Peer-to-peer payments","321362337","1231408926514"
"andhra-pradesh",2022,2,"Merchant payments","292530048","205433660654"
"andhra-pradesh",2022,2,"Recharge & bill payments","56606969","42408541939"
"andhra-pradesh",2022,2,"Financial Services","192751","245783011"
"andhra-pradesh",2022,2,"Others","441925","357036085"
"andhra-pradesh",2022,3,"Peer-to-peer payments","298804000","1140164525893"
"andhra-pradesh",2022,3,"Merchant payments","291033653","202910820650"
"andhra-pradesh",2022,3,"Recharge & bill payments","52467708","41438764826"
"andhra-pradesh",2022,3,"Financial Services","187190","239347242"
"andhra-pradesh",2022,3,"Others","362484","323951102"
"andhra-pradesh",2022,4,"Merchant payments","321632104","211898851397"
"andhra-pradesh",2022,4,"Peer-to-peer payments","315734006","1170249585983"
"andhra-pradesh",2022,4,"Recharge & bill payments","52098850","41986837706"
"andhra-pradesh",2022,4,"Financial Services","206459","250596592"
"andhra-pradesh",2022,4,"Others","345658","339211363"
"andhra-pradesh",2023,1,"Merchant payments","540680395","311606731877"
"andhra-pradesh",2023,1,"Peer-to-peer payments","514931308","1857818168755"
"andhra-pradesh",2023,1,"Recharge & bill payments","89143939","78817989795"
"andhra-pradesh",2023,1,"Financial Services","288150","331233097"
"andhra-pradesh",2023,1,"Others","488672","477193006"
"andhra-pradesh",2023,2,"Merchant payments","634303064","349602824539"
"andhra-pradesh",2023,2,"Peer-to-peer payments","573455382","2067288068882"
"andhra-pradesh",2023,2,"Recharge & bill payments","97202487","88352183038"
"andhra-pradesh",2023,2,"Financial Services","316533","386071375"
"andhra-pradesh",2023,2,"Others","379498","409939082"
"arunachal-pradesh",2018,1,"Recharge & bill payments","28729","5184133"
"arunachal-pradesh",2018,1,"Peer-to-peer payments","13320","82889683"
"arunachal-pradesh",2018,1,"Merchant payments","1042","2420374"
"arunachal-pradesh",2018,1,"Financial Services","416","58894"
"arunachal-pradesh",2018,1,"Others","1990","1834253"
"arunachal-pradesh",2018,2,"Recharge & bill payments","50700","10468879"
"arunachal-pradesh",2018,2,"Peer-to-peer payments","26477","181576281"
"arunachal-pradesh",2018,2,"Merchant payments","2378","4718953"
"arunachal-pradesh",2018,2,"Financial Services","559","363762"
"arunachal-pradesh",2018,2,"Others","2043","1842317"
"arunachal-pradesh",2018,3,"Recharge & bill payments","74122","15997566"
"arunachal-pradesh",2018,3,"Peer-to-peer payments","49740","308106303"
"arunachal-pradesh",2018,3,"Merchant payments","4738","5505695"
"arunachal-pradesh",2018,3,"Financial Services","507","72134"
"arunachal-pradesh",2018,3,"Others","2039","2044709"
"arunachal-pradesh",2018,4,"Recharge & bill payments","97751","20662692"
"arunachal-pradesh",2018,4,"Peer-to-peer payments","68169","468831493"
"arunachal-pradesh",2018,4,"Merchant payments","7726","11998974"
"arunachal-pradesh",2018,4,"Financial Services","561","100598"
"arunachal-pradesh",2018,4,"Others","2222","2446272"
"arunachal-pradesh",2019,1,"Recharge & bill payments","121303","26796895"
"arunachal-pradesh",2019,1,"Peer-to-peer payments","93494","568554821"
"arunachal-pradesh",2019,1,"Merchant payments","9214","11727218"
"arunachal-pradesh",2019,1,"Financial Services","256","140623"
"arunachal-pradesh",2019,1,"Others","2239","2730549"
"arunachal-pradesh",2019,2,"Recharge & bill payments","131988","30420803"
"arunachal-pradesh",2019,2,"Peer-to-peer payments","106527","704237943"
"arunachal-pradesh",2019,2,"Merchant payments","16828","13955724"
"arunachal-pradesh",2019,2,"Financial Services","267","160661"
"arunachal-pradesh",2019,2,"Others","3046","3880743"
"arunachal-pradesh",2019,3,"Recharge & bill payments","216228","50946105"
"arunachal-pradesh",2019,3,"Peer-to-peer payments","133484","841037395"
"arunachal-pradesh",2019,3,"Merchant payments","16900","17178248"
"arunachal-pradesh",2019,3,"Financial Services","864","64089"
"arunachal-pradesh",2019,3,"Others","2758","3419197"
"arunachal-pradesh",2019,4,"Recharge & bill payments","259183","63516906"
"arunachal-pradesh",2019,4,"Peer-to-peer payments","177833","1100137448"
"arunachal-pradesh",2019,4,"Merchant payments","19769","23192272"
"arunachal-pradesh",2019,4,"Financial Services","314","305380"
"arunachal-pradesh",2019,4,"Others","2376","3421174"
"arunachal-pradesh",2020,1,"Recharge & bill payments","329834","86011655"
"arunachal-pradesh",2020,1,"Peer-to-peer payments","203429","1263912288"
"arunachal-pradesh",2020,1,"Merchant payments","31181","28553052"
"arunachal-pradesh",2020,1,"Financial Services","470","337813"
"arunachal-pradesh",2020,1,"Others","2261","2943873"
"arunachal-pradesh",2020,2,"Recharge & bill payments","522495","145198528"
"arunachal-pradesh",2020,2,"Peer-to-peer payments","247861","1630654426"
"arunachal-pradesh",2020,2,"Merchant payments","35169","46446967"
"arunachal-pradesh",2020,2,"Financial Services","1310","2655508"
"arunachal-pradesh",2020,2,"Others","1939","1761404"
"arunachal-pradesh",2020,3,"Recharge & bill payments","514907","153463816"
"arunachal-pradesh",2020,3,"Peer-to-peer payments","370418","2361603431"
"arunachal-pradesh",2020,3,"Merchant payments","72736","88145179"
"arunachal-pradesh",2020,3,"Financial Services","1761","4030600"
"arunachal-pradesh",2020,3,"Others","3005","2695539"
"arunachal-pradesh",2020,4,"Peer-to-peer payments","522019","3254744938"
"arunachal-pradesh",2020,4,"Recharge & bill payments","513895","152389181"
"arunachal-pradesh",2020,4,"Merchant payments","167387","156682926"
"arunachal-pradesh",2020,4,"Financial Services","1749","2391652"
"arunachal-pradesh",2020,4,"Others","4079","4055324"
"arunachal-pradesh",2021,1,"Peer-to-peer payments","566209","3460488559"
"arunachal-pradesh",2021,1,"Recharge & bill payments","450649","142358377"
"arunachal-pradesh",2021,1,"Merchant payments","155966","204958020"
"arunachal-pradesh",2021,1,"Financial Services","1558","2672460"
"arunachal-pradesh",2021,1,"Others","3074","3301663"
"arunachal-pradesh",2021,2,"Peer-to-peer payments","762946","4000960152"
"arunachal-pradesh",2021,2,"Recharge & bill payments","556680","165579844"
"arunachal-pradesh",2021,2,"Merchant payments","243375","283709439"
"arunachal-pradesh",2021,2,"Financial Services","1582","2761077"
"arunachal-pradesh",2021,2,"Others","3755","3415105"
"arunachal-pradesh",2021,3,"Peer-to-peer payments","986088","5033603845"
"arunachal-pradesh",2021,3,"Recharge & bill payments","600102","187390578"
"arunachal-pradesh",2021,3,"Merchant payments","314658","449869061"
"arunachal-pradesh",2021,3,"Financial Services","1934","3348548"
"arunachal-pradesh",2021,3,"Others","4185","3912143"
"arunachal-pradesh",2021,4,"Peer-to-peer payments","1227616","6022733378"
"arunachal-pradesh",2021,4,"Recharge & bill payments","633248","207784816"
"arunachal-pradesh",2021,4,"Merchant payments","521447","704195695"
"arunachal-pradesh",2021,4,"Financial Services","2386","3933557"
"arunachal-pradesh",2021,4,"Others","5901","4862906"
"arunachal-pradesh",2022,1,"Peer-to-peer payments","1403584","6670641250"
"arunachal-pradesh",2022,1,"Merchant payments","720803","917155359"
"arunachal-pradesh",2022,1,"Recharge & bill payments","670576","231933129"
"arunachal-pradesh",2022,1,"Financial Services","3053","3359626"
"arunachal-pradesh",2022,1,"Others","6052","5002264"
"arunachal-pradesh",2022,2,"Peer-to-peer payments","1751568","7627061475"
"arunachal-pradesh",2022,2,"Merchant payments","1108353","1255513517"
"arunachal-pradesh",2022,2,"Recharge & bill payments","688770","241162643"
"arunachal-pradesh",2022,2,"Financial Services","2466","4063469"
"arunachal-pradesh",2022,2,"Others","5768","3864270"
